name,expression,ic_mean,rank_ic_mean,icir
Volatility20,"Std(($close/Ref($close, 1))-1, 20)",0.0522612087639746,0.038610787206894565,0.22069153248728204
VMA10,"Mean($volume, 10)",0.0021733120669489943,0.030255133366817153,0.13378101163247078
PriceVWAPRatio10,"Mean($close, 10) / Mean($vwap, 10)",0.01516211328936447,0.012080530026081978,0.096737524207138
MeanReversion_10D,"(Mean($close, 10) / $close) - 1",0.010364224894943135,0.0071397128548275806,0.059598910293083306
Volume_Ratio_5_20,"Mean($volume, 5) / Mean($volume, 20)",0.005286684747232341,0.004602972669369483,0.07408751964766093
Price_vs_VWAP_5D,"($close / Mean($vwap, 5)) - 1",-0.000861294686143607,0.0037721667780579136,-0.0049237733451335634
VolumeRateOfChange20,"($volume - Ref($volume, 20)) / Ref($volume, 20)",0.0007487731577426682,-0.0002664629313511413,0.009631743154739792
Price_vs_VWAP_10d,"($close / Mean($vwap, 10)) - 1",-0.008567082550239429,-0.006143078965050304,-0.04861797009267693
PriceOscillator_20D,"($adjclose - Mean($adjclose, 20)) / Mean($adjclose, 20)",-0.009865494772408593,-0.012156033657432685,-0.0538081219327055
Price_vs_MA_20d,"$close / Mean($close, 20)",-0.009865493470245292,-0.012156034584479725,-0.05380811429108728
